Date,Discount
7-Apr-16,0.01
6-Apr-16,0.01
5-Apr-16,0.01
4-Apr-16,0
1-Apr-16,0
31-Mar-16,-0.02
30-Mar-16,0.03
29-Mar-16,0.03
28-Mar-16,0
24-Mar-16,0
23-Mar-16,0.01
22-Mar-16,0.03
21-Mar-16,0
18-Mar-16,-0.02
17-Mar-16,0
16-Mar-16,0.05
15-Mar-16,0.01
14-Mar-16,-0.01
11-Mar-16,-0.01
10-Mar-16,0.03
9-Mar-16,0
8-Mar-16,-0.01
7-Mar-16,0
4-Mar-16,-0.01
3-Mar-16,0.01
2-Mar-16,-0.02
1-Mar-16,-0.01
29-Feb-16,-0.05
26-Feb-16,-0.01
25-Feb-16,0.02
24-Feb-16,-0.03
23-Feb-16,-0.02
22-Feb-16,-0.01
19-Feb-16,-0.01
18-Feb-16,0.02
17-Feb-16,-0.01
16-Feb-16,0
12-Feb-16,0.01
11-Feb-16,0.01
10-Feb-16,-0.01
9-Feb-16,0.06
8-Feb-16,0.02
5-Feb-16,-0.01
4-Feb-16,0.03
3-Feb-16,0
2-Feb-16,-0.02
1-Feb-16,-0.06
29-Jan-16,-0.1
28-Jan-16,-0.03
27-Jan-16,-0.01
26-Jan-16,-0.01
25-Jan-16,0.07
22-Jan-16,-0.01
21-Jan-16,-0.03
20-Jan-16,0.01
19-Jan-16,0.06
15-Jan-16,-0.03
14-Jan-16,-0.05
13-Jan-16,0.01
12-Jan-16,0
11-Jan-16,-0.03
8-Jan-16,-0.03
7-Jan-16,-0.03
6-Jan-16,0.01
5-Jan-16,0.05
4-Jan-16,0.03
31-Dec-15,-0.04
30-Dec-15,-0.01
29-Dec-15,0
28-Dec-15,-0.01
24-Dec-15,-0.04
23-Dec-15,0.02
22-Dec-15,0.03
21-Dec-15,0.01
18-Dec-15,-0.05
17-Dec-15,-0.01
16-Dec-15,0
15-Dec-15,0.04
14-Dec-15,0.07
11-Dec-15,-0.02
10-Dec-15,-0.01
9-Dec-15,0
8-Dec-15,0.01
7-Dec-15,0.01
4-Dec-15,-0.04
3-Dec-15,0.05
2-Dec-15,0
1-Dec-15,0
30-Nov-15,0.08
27-Nov-15,0.02
25-Nov-15,0.01
24-Nov-15,0.04
23-Nov-15,0
20-Nov-15,0.02
19-Nov-15,0.03
18-Nov-15,0.01
17-Nov-15,0
16-Nov-15,-0.01
13-Nov-15,-0.01
12-Nov-15,0.01
11-Nov-15,0
10-Nov-15,0.06
9-Nov-15,0.02
6-Nov-15,-0.01
5-Nov-15,0.02
4-Nov-15,0.05
3-Nov-15,0
2-Nov-15,0
30-Oct-15,-0.03
29-Oct-15,-0.02
28-Oct-15,-0.01
27-Oct-15,0.03
26-Oct-15,-0.04
23-Oct-15,0.03
22-Oct-15,0.01
21-Oct-15,-0.01
20-Oct-15,0.04
19-Oct-15,0.03
16-Oct-15,-0.03
15-Oct-15,0.02
14-Oct-15,-0.02
13-Oct-15,-0.02
