Date,Nav,Shares Outstanding,Total Net Assets,,,,,,,,,,
07-Apr-2016,203.928142,903332116.0,184214840073.0,,,,,,,,,,
06-Apr-2016,206.390997,897982116.0,185335423815.62,,,,,,,,,,
05-Apr-2016,204.172818,901582116.0,184078561638.55,,,,,,,,,,
04-Apr-2016,206.264278,892932116.0,184179998362.31,,,,,,,,,,
01-Apr-2016,206.883593,884582116.0,183005526429.97,,,,,,,,,,
31-Mar-2016,205.582724,897082116.0,184424585224.5,,,,,,,,,,
30-Mar-2016,206.002848,892782116.0,183915658214.56,,,,,,,,,,
29-Mar-2016,205.089978,889982116.0,182526412495.08,,,,,,,,,,
28-Mar-2016,203.258223,896932116.0,182308828168.76,,,,,,,,,,
24-Mar-2016,203.146588,895682116.0,181954765800.59,,,,,,,,,,
23-Mar-2016,203.224944,893382116.0,181557530274.62,,,,,,,,,,
22-Mar-2016,204.53014,887182116.0,181455482742.45,,,,,,,,,,
21-Mar-2016,204.679177,870532116.0,178179797460.38,,,,,,,,,,
18-Mar-2016,204.476966,883882116.0,180733533697.08,,,,,,,,,,
17-Mar-2016,204.6325,898382116.0,183838178549.87,,,,,,,,,,
16-Mar-2016,203.297799,894332116.0,181815751130.34,,,,,,,,,,
15-Mar-2016,202.160926,899732116.0,181890677327.43,,,,,,,,,,
14-Mar-2016,202.52754,895182116.0,181299032234.17,,,,,,,,,,
11-Mar-2016,202.769382,885782116.0,179609491911.93,,,,,,,,,,
10-Mar-2016,199.463619,887082116.0,176940609603.0,,,,,,,,,,
09-Mar-2016,199.42142,878682116.0,175228035737.05,,,,,,,,,,
08-Mar-2016,198.391243,879032116.0,174392274409.91,,,,,,,,,,
07-Mar-2016,200.596883,876032116.0,175729311934.69,,,,,,,,,,
04-Mar-2016,200.408503,874432116.0,175243631401.71,,,,,,,,,,
03-Mar-2016,199.748233,884732116.0,176723676412.54,,,,,,,,,,
02-Mar-2016,199.034305,877632116.0,174678898004.83,,,,,,,,,,
01-Mar-2016,198.19075,882382116.0,174879973473.99,,,,,,,,,,
29-Feb-2016,193.584743,882532116.0,170844752976.94,,,,,,,,,,
26-Feb-2016,195.147149,879832116.0,171696729024.18,,,,,,,,,,
25-Feb-2016,195.491548,875782116.0,171208001636.7,,,,,,,,,,
24-Feb-2016,193.259791,883882116.0,170818872840.28,,,,,,,,,,
23-Feb-2016,192.399922,884132116.0,170106949962.3,,,,,,,,,,
22-Feb-2016,194.805007,881782116.0,171775571340.51,,,,,,,,,,
19-Feb-2016,192.041888,902082116.0,173237552570.15,,,,,,,,,,
18-Feb-2016,192.019168,904282116.0,173639499970.97,,,,,,,,,,
17-Feb-2016,192.906213,900682116.0,173747176415.82,,,,,,,,,,
16-Feb-2016,189.77085,904232116.0,171596897661.82,,,,,,,,,,
12-Feb-2016,186.635152,908832116.0,169620020359.39,,,,,,,,,,
11-Feb-2016,183.054832,910832116.0,166732219596.63,,,,,,,,,,
10-Feb-2016,185.294893,901382116.0,167021502659.25,,,,,,,,,,
09-Feb-2016,185.267652,882882116.0,163569496417.8,,,,,,,,,,
08-Feb-2016,185.350256,878982116.0,162919560365.56,,,,,,,,,,
05-Feb-2016,187.987285,883082116.0,166008209840.28,,,,,,,,,,
04-Feb-2016,191.510738,882832116.0,169071829886.81,,,,,,,,,,
03-Feb-2016,191.182274,884782116.0,169154656744.63,,,,,,,,,,
02-Feb-2016,190.17111,892882116.0,169800383420.57,,,,,,,,,,
01-Feb-2016,193.793359,892732116.0,173005555272.48,,,,,,,,,,
29-Jan-2016,193.875183,900832116.0,174648990892.01,,,,,,,,,,
28-Jan-2016,189.194269,893082116.0,168966018298.83,,,,,,,,,,
27-Jan-2016,188.139824,901732116.0,169651721186.86,,,,,,,,,,
26-Jan-2016,190.192224,893732116.0,169980898662.46,,,,,,,,,,
25-Jan-2016,187.543394,894382116.0,167735457599.62,,,,,,,,,,
22-Jan-2016,190.51919,893432116.0,170215962967.81,,,,,,,,,,
21-Jan-2016,186.737082,886032116.0,165455051667.91,,,,,,,,,,
20-Jan-2016,185.768797,883282116.0,164086256111.59,,,,,,,,,,
19-Jan-2016,187.931703,861732116.0,161946784516.99,,,,,,,,,,
15-Jan-2016,187.831667,863882116.0,162264417671.21,,,,,,,,,,
14-Jan-2016,191.969234,848282116.0,162844068026.91,,,,,,,,,,
13-Jan-2016,188.816791,847082116.0,159943326834.13,,,,,,,,,,
